线路编号, 上行途径站点, 下行途径站点
M394,龙岗满京华总站、龙岗街道办、南联路口、鹏达学校、鹏达路口、龙新派出所、南联学校、南联水口村、华英大厦、龙岗大浪路口、东华学校、南约警务室、江业百货、南约广场、万科科技园、比亚迪学校、宝龙加油站、振业峦山谷、金地名峰、嶂背二村西、园湖路口、横岗长途汽车站、荷坳地铁站、水晶之城、银海工业区、永湖地铁站、横岗派出所、189工业区、信义玻璃厂、永佳利、横岗228工业区总站,横岗228工业区总站、永佳利、信义玻璃厂、189工业区、横岗派出所、独竹、永湖地铁站、银海工业区、水晶之城、荷坳地铁站、横岗长途汽车站、园湖路口、嶂背二村西、金地名峰、振业峦山谷、宝荷沙荷路口、比亚迪学校、万科科技园、南约广场、江业百货、南约警务室、东华学校、龙岗大浪路口、华英大厦、南联水口村、南联学校、龙新派出所、鹏达路口、鹏达学校、南联路口、南联地铁站、龙岗街道办、龙岗华兴苑、龙岗国税局、龙岗满京华总站
M395,大王山总站、YKK拉链厂、雅美厂、永威五金塑料厂、福永伟创力、富桥工业区、新和一区、新和村、福永海鲜市场、机场海关、宝安交警大队①、翠湖花园①、黄田、钟屋、三围路口、劲力集团、固戍村、西乡立交③、宝安中心医院①、西乡路口①、上川路口①、裕安路口①、灵芝地铁站、灵芝公园北、洪浪北地铁站、新安税务、新福市场①、兴东地铁站、金威啤酒厂、牛城村、宝华油站、创维天桥、一电科技①、台湾工业区、山城工业区、石岩计生中心、河滨花园、石岩街道办、官田村①、宝燃油站、长城工业区②、水田社区①、谭罗村、大浪石观工业区、赤岭头村、上塘农贸市场、锦绣江南、牛栏前学校、万众城家居广场、梅花山庄、大发埔油站、坂田医院、坂田地铁站、杨美地铁站、丽湖花园、兴晖苑、塘园新村、布吉汽车站、东方半岛、大芬地铁站②、尚峰花园、宝鼎威货运、布吉康桥总站,布吉康桥总站、宝鼎威货运、尚峰花园、大芬地铁站②、东方半岛、布吉汽车站、塘园新村、兴晖苑、丽湖花园、杨美地铁站、坂田地铁站、坂田医院、大发埔油站、梅花山庄、万众城家居广场、牛栏前学校、锦绣江南、上塘农贸市场、国泰家私城、赤岭头村、大浪石观工业区、谭罗村、水田社区①、长城工业区②、宝燃油站、官田村①、石岩街道办、河滨花园、石岩计生中心、山城工业区、台湾工业区、一电科技①、创维天桥①、宝华油站、牛城村、金威啤酒厂、兴东地铁站、新福市场①、新安税务、洪浪北地铁站、灵芝公园北、灵芝地铁站、裕安路口①、上川路口①、西乡路口①、宝安中心医院①、西乡立交①、固戍村、劲力集团、三围路口、钟屋、黄田、翠湖花园①、宝安交警大队①、机场海关、福永海鲜市场、新和天桥①、美希美工业园①、福永伟创力、永威五金塑料厂、雅美厂、YKK拉链厂、大王山总站
M397,沙一鹏盈汇、沙井西部义乌、沙井京基百纳、沙井街道办、西荟城广场、壆岗大厦、沙井创新、马安山、马安山地铁站、沙井马安山、新桥万丰工业区、万丰派出所、丽晶酒店、新桥南环路口②、福兴油站、蓝天科技园、南洞村口、黄埔村委、黄埔工业区、洪田路口、宝华厂、庄村商业街、庄村市场、庄村桥头、庄村工业区、新玉路口、新玉路庄村公交总站,新玉路庄村公交总站、新玉路口、庄村工业区、庄村桥头、庄村市场、庄村商业街、宝华厂、洪田路口、黄埔工业区、上南路口、黄埔村委、南洞村口、上高坡工业区、东环路口、蚝四南安科技、景顺油站、丽晶酒店、万丰派出所、新桥万丰工业区、沙井马安山、学府雅苑、马安山地铁站、沙井创新、壆岗村、壆岗大厦、西荟城广场、沙井街道办、沙井京基百纳、沙井西部义乌、沙一鹏盈汇
M398,深圳湾口岸、后海滨路口、北师大附中、南门一坊、南油大厦②、南山邮局、海雅百货、桂庙新村、深圳大学、深大北门②、科技园②、大冲②、白石洲①、世界之窗①、何香凝美术馆、锦绣中华②、康佳集团东、园博园②、深圳风湿病医院、东海花园、农园路、香域中央花园、翠海花园、金地网球中心、枫丹雅苑、特发小区、福田外语学校西、北环香梅北天桥、深圳石油大厦、广中医深圳医院、北环新洲立交、北环中学、彩田村北、福田党校、民乐地铁站②、惠鑫公寓①、横岭、横岭二区、沙元埔、东边、沙吓、万众城家居广场、梅花山庄、大发埔油站、坂田医院、坂田地铁站、高力特、坂田互联e时代总站,坂田互联e时代总站、高力特、坂田地铁站、坂田医院、大发埔油站、梅花山庄、万众城家居广场、沙吓、东边①、沙元埔、横岭二区、横岭、惠鑫公寓②、民乐地铁站③、梅龙天桥、华茂苑、北环中学、北环新洲立交、广中医深圳医院、北环香梅北天桥、北环香蜜立交、金地网球中心、翠海花园①、香域中央花园、农园路、东海花园、深圳风湿病医院、深圳人才园、园博园②、康佳集团东、锦绣中华、何香凝美术馆①、世界之窗①、白石洲①、大冲②、科技园②、深大北门②、深圳大学、桂庙新村、海雅百货、南山邮局、南油大厦、南门一坊、北师大附中、后海滨路口、深圳湾口岸
M399,大望槟榔公园、大望学校、大望球场、大望公园、大望桥、东湖宾馆、水库、水库新村①、竹园宾馆②、留医部②、东门中②、东门⑤、金城大厦②、阳光酒店、罗湖小学③、建设路总站,建设路总站、门诊部②、东门④、东门中②、留医部①、竹园宾馆、水库新村、水库、东湖宾馆、大望桥、大望公园、大望球场、大望学校、大望槟榔公园
M400,蛇口SCT码头总站、价值工厂、海湾路口、招商港务、招港大厦、蛇口港地铁站、新时代广场、海上世界地铁站、水湾地铁站、招商大厦、花果山、玫瑰园、蛇口沃尔玛①、荔秀文化街、东滨路中、城市山林东、城市山林西、南山村、南山村北、南园村、华联花园、南山市场②、田厦村、南贸市场、南新深南天桥①、中南花园、中商花园、甲岸路口、西城上筑、金成名苑、宝安体育馆东、群贤花园、河东、西乡步行街、西乡盐田大门、西乡地铁站、海湾中学东、西乡体育中心、西乡体育中心西①、固戍污水厂、固戍海滨新村、固戍井湾新村、华创达科技园南、安乐工业区、全一电子、全一电子厂北、固戍公交接驳站,固戍公交接驳站、全一电子厂北、全一电子、安乐工业区、华创达科技园南、固戍井湾新村、固戍海滨新村、固戍污水厂、西乡体育中心、海湾中学东、西乡地铁站、西乡盐田大门、西乡盐田、同仁妇科医院、西乡步行街、河东、群贤花园、宝安体育馆东、金成名苑、西城上筑、甲岸路口、中商花园、宝安实验学校②、南新深南天桥①、南贸市场、田厦村、南山市场②、华联花园、南园村、南山村北、南山村、城市山林西、城市山林东、东滨路中、荔秀文化街、蛇口沃尔玛、玫瑰园、花果山、招商大厦、水湾地铁站、海上世界地铁站、新时代广场、蛇口港地铁站、招港大厦、招商港务、海湾路口、价值工厂、蛇口SCT码头总站
M401,清湖产业园总站、好日子公司、彩煌公司、清湖公园、清湖老村、龙华区办事大厅、清湖地铁站、美丽365花园、龙华消防中队、人民医院龙华分院、龙华天虹商场、龙华市场、景华新村、华富市场、电信大厦、风和日丽北、风和日丽、民治二小、金地梅陇镇、世纪春城、民兴路口、东泉新村、铁路桥、樟坑、潜龙花园、石龙路口、惠鑫公寓②、民乐地铁站①、梅龙天桥、长城开发、笔架山公园、市二医院②、体育馆②、笋岗八卦路口①、建设集团、荔枝公园①、红岭南路①、鹿丹村、金威大厦、罗湖小学②、火车站,火车站、建设路、金威大厦、鹿丹村、荔枝公园①、建设集团、笋岗八卦路口①、体育馆②、市二医院②、笔架山公园、长城开发、梅龙天桥、民乐地铁站①、惠鑫公寓②、石龙路口、潜龙花园、樟坑、铁路桥、东泉新村、民兴路口、世纪春城、金地梅陇镇、民治二小、风和日丽、风和日丽北、龙泉酒店、电信大厦、华富市场、景华新村、龙华市场、龙华天虹商场、人民医院龙华分院、龙华消防中队、美丽365花园、清湖地铁站、龙华区办事大厅、清湖老村、清湖公园、好日子公司、清湖产业园总站
M402,万国食品城总站、左右家私、李朗国际珠宝园、第三人民医院、联创科技园、布吉交警中队、尚峰花园、石芽岭公园、布龙立交、大世纪花园、布吉天虹、布吉中学、森鑫源学校、东心岭、金沙花园、东升学校、春蕾幼儿园、莲花山庄、德福花园、钱排村、德兴花园、粤宝红岗路口、粤宝、宝丽路口、荣超花园①、草埔地铁站⑥、洪湖公园②、田贝①、东门中①、东门③、金城大厦①、金光华广场、建设路总站,建设路总站、中国银行大厦、门诊部②、东门③、东门中①、田贝②、洪湖公园②、独树村①、草埔地铁站④、荣超花园①、宝丽路口、粤宝、粤宝红岗路口、德兴花园、钱排村、德福花园、莲花山庄、春蕾幼儿园、东升学校、金沙花园、东心岭、森鑫源学校、布吉中学、布吉天虹、大世纪花园、布龙立交、石芽岭公园、尚峰花园、联创科技园、第三人民医院、李朗国际珠宝园、左右家私、万国食品城总站
M403,吉华白砂岭场站、凉帽村、甘坑社康中心、甘坑客家小镇、吉华街道办、宝福珠宝园、李朗国际珠宝园、第三人民医院、联创科技园、来座山、布吉慢城、景芬路口、康达尔、布吉汽车站、半岛苑、东方半岛、布吉街道办、大世纪花园、布吉天虹、龙岗区第二人民医院、布吉街①、荣超花园①、草埔地铁站⑥、洪湖公园①、田贝①、东门中①、东门①、金城大厦①、金光华广场、建设路总站,建设路总站、建设路、金光华广场、金城大厦①、东门①、东门中①、田贝②、洪湖公园①、独树村②、草埔地铁站①、荣超花园④、布吉街、龙岗区第二人民医院、布吉天虹、大世纪花园、布龙立交、半岛苑、康达尔、景芬路口、布吉慢城、来座山、联创科技园、第三人民医院、李朗国际珠宝园、宝福珠宝园②、吉华街道办、甘坑客家小镇、甘坑社康中心、凉帽村、吉华白砂岭场站
M404,万国食品城总站、左右家私、宝福珠宝园、李朗国际珠宝园、第三人民医院、联创科技园、深圳法律创意园、丹平金鹏物流、沙岭小区、沙湾汽车站、沙湾天桥、沙湾路口、樟树布社区、南岭村、南湾街道办、百门前工业区、大芬油画村、木棉湾地铁站①、龙珠花园③、深圳东站②、荣超花园①、草埔地铁站⑥、洪湖公园①、田贝③、东门⑥、金城大厦①、金光华广场、建设路总站,建设路总站、金光华广场、金城大厦①、东门⑥、田贝②、洪湖公园①、草埔地铁站②、荣超花园④、深圳东站②、龙珠花园、木棉湾地铁站①、大芬油画村、南湾人民医院、南湾街道办、南岭村、樟树布社区、沙湾路口、沙湾天桥、沙湾汽车站、沙岭小区、丹平金鹏物流、深圳法律创意园、联创科技园、第三人民医院、李朗国际珠宝园、粤信创意园、左右家私、万国食品城总站
M405,壹成中心第九区公交总站、龙泉酒店、丰润居委会、银泉花园、锦绣江南西、松仔园、民顺小学、水榭春天、南源新村、高级中学北校区、龙华绿廊公园、深圳北站东广场、白石龙村、石龙路口、惠鑫公寓②、民乐地铁站②、长城开发、花卉世界临时站、华富路①、上海宾馆东、华强路地铁公交接驳站,华强路地铁公交接驳站、华富路始发站④、花卉世界临时站、长城开发、民乐地铁站②、惠鑫公寓②、白石龙村、深圳北站东广场、龙华绿廊公园、高级中学北校区、南源新村、水榭春天、民顺小学、松仔园、锦绣江南西①、银泉花园、丰润居委会、龙泉酒店、壹成中心第九区公交总站
M406,可园总站、木棉湾地铁站①、龙珠花园①、荣超花园④、草埔地铁站③、洪湖公园①、田心村、梨园路东、梨园路、人才大市场、梅园路①、市检察院②、笋岗八卦路口①、八卦二路、市检察院②、梅园路①、人才大市场、梨园路、梨园路东、田心村、田贝四路、洪湖公园①、独树村①、草埔地铁站②、荣超花园④、深圳东站②、龙珠花园、木棉湾地铁站①、可园总站,None
M407,观澜新田总站、辅城坳天桥、辅城坳小学、顺平路口北、杉坑工业区、南园学校、平湖广场西、平湖派出所、平湖中心小学、富安大道路口、大皇公、鹅溪小学、鹅公岭市场、良安田、白泥坑、百合花卉小镇、丹平金鹏物流、丹平人行天桥、丹平社区、丹竹头小学、沙西桥、吉厦村、沙湾汽车站、沙湾天桥、东湾派出所、东湖宾馆、水库新村①、竹园宾馆①、留医部②、东门⑥、金城大厦①、金光华广场、建设路总站,建设路总站、建设路、金光华广场、金城大厦①、东门⑥、留医部②、竹园宾馆、水库新村、水库、东湖宾馆、东湾派出所、沙湾天桥、沙湾汽车站②、吉厦村、沙西桥、吉厦街、丹竹头小学、丹平社区、丹平人行天桥、丹平金鹏物流、百合花卉小镇、白泥坑、良安田、鹅公岭市场、鹅溪小学、大皇公、富安大道路口、平湖中心小学、平湖派出所、平湖广场西、南园学校、杉坑工业区、顺平路口、辅城坳小学、辅城坳天桥、新田路口、观澜新田总站
M408,观澜新田总站、新田市场②、新田居委会、牛轭岭新村、观澜建材市场、福楼村、南大富、大布新村、观澜汽车站②、岗头村、吉盛酒店、观澜中心小学、龙华中心医院①、银河新村、观澜二小、观澜交警中队、田背路口、竹村、宝湖新村、龙华汽车站、龙华消防中队、美丽365花园、龙华环保所、龙华文化广场、共和新村、瓦窑排、龙华富士康、富士康南二门、水斗富豪新村、水斗村、利金城工业园、坂田天虹、坂田市场、坂田路口（西）、天安花园、宝利工业区、雪竹径加油站、上雪工业区、红门、秀峰路口、恒通工业区、丽湖花园、中海怡翠、兴晖苑、塘园新村、布吉汽车站、半岛苑、东方半岛、木棉湾地铁站②、龙珠花园③、荣超花园④、草埔地铁站⑥、洪湖公园①、田贝①、东门⑥、金城大厦①、金光华广场、建设路总站,建设路总站、建设路、金光华广场、金城大厦①、东门⑥、田贝②、洪湖公园②、草埔地铁站①、荣超花园④、深圳东站②、龙珠花园、木棉湾地铁站②、东方半岛、半岛苑、布吉汽车站、塘园新村、兴晖苑、中海怡翠①、丽湖花园、恒通工业区、秀峰路口、红门、上雪工业区、雪竹径加油站、宝利工业区、天安花园、坂田路口（西）、坂田市场、坂田天虹、利金城工业园、水斗村、水斗富豪新村、龙华富士康、瓦窑排、共和新村、龙华文化广场、龙华环保所、美丽365花园、龙华消防中队、龙华汽车站、宝湖新村、竹村、田背路口、观澜交警中队、观澜二小、龙华中心医院②、观澜中心小学、吉盛酒店①、岗头村、观澜汽车站、大布新村、南大富、福楼村、观澜建材市场、牛轭岭新村、新田居委会、新田市场②、观澜新田总站
M409,月亮湾填海区公交总站、前海湾花园南、十二号路、阳光玫瑰园、南山花园、前海兴海路口、月亮湾花园东、荔山工业园、万豪月半山、龙瑞佳园、龙瑞佳园天桥、蛇口港交警大队、蛇口港地铁站、新时代广场、海上世界地铁站、水湾头、南玻大厦、招商发展中心、蛇口人民医院、蛇口沃尔玛②、南门一坊、北师大附中、后海滨路口、深圳湾口岸公交总站,深圳湾口岸公交总站、后海滨路口、北师大附中、南门一坊、蛇口沃尔玛、蛇口人民医院、蛇口税务办税大厅、荔园路临时停靠点、水湾头、海上世界地铁站、新时代广场、蛇口港地铁站、蛇口港交警大队、龙瑞佳园天桥、龙瑞佳园、万豪月半山、荔山工业园、月亮湾花园东、前海兴海路口、南山花园、阳光玫瑰园、十二号路、前海湾花园南、月亮湾填海区公交总站
M410,公明马山头总站、宝田医院、公明中心换乘站、红花山公园、光明文化馆、公明中行、公明交警中队、光明人民医院②、将石、东坑、公明塘尾、万丰工业区、恒海工业园、甲子塘路口、东长路口、华星光电、光谷苑、塘家治安亭、塘家市场、塘家村委、塘家第一工业区、塘家总站,塘家总站、塘家第一工业区、塘家村委、塘家市场、塘家治安亭、光谷苑、甲子塘村、甲子塘路口、光明大道路口、万丰工业区、公明塘尾、东坑、将石、光明人民医院①、公明交警中队、公明中行、光明文化馆、公明中心换乘站①、三和百货、合水口居委、宝田医院、公明马山头总站
M411,公明内衣城公交场站、康泰生物、科裕路口、马田办事处、田园路口、埃迪蒙托、薯田埔、宏发嘉域、马田、合水口居委、富利松白路口、马山头、芳园路口、富利南路口、依波大厦、锦鸿花园、光明峰荟、下石家路口、秋园雅苑、东坑北、杜邦公司、研祥西门、杜邦路口、东明公寓正门、东明公寓北、光明人民法庭、红苹果幼儿园、东周小学南门、美景花园、国科大医院东院区、光明群众体育中心、碧眼村口、农业科技园、迳口村路口、勒堡工业园、新健兴科技工业园、第二职业技术学校、光晟厂、中山七院,中山七院、圳辉路口、同富裕工业园、中山七院换乘站①、光晟厂、第二职业技术学校、新健兴科技工业园、勒堡工业园、迳口村路口、农业科技园、碧眼村口、国科大医院东院区、美景花园、东周小学南门、红苹果幼儿园、光明人民法庭、东明公寓北、东明公寓正门、杜邦路口、研祥西门、杜邦公司、东坑北、秋园雅苑、将石、下石家路口、光明峰荟、锦鸿花园、依波大厦、富利南路口、马山头、富利松白路口、合水口居委、马田、宏发嘉域、薯田埔、埃迪蒙托、田园路口、马田办事处、公明内衣城公交场站
M412,金联兴电子厂、豪璟达工业区、岭根吓、上木古村委、平吉上苑、上木古村、华南城交易中心、华南城北门、华南城、富民路口、富伟厂、平湖中心小学、平湖派出所、平湖市场、守珍街、北门坳、军事管理区、平湖广场、南园学校、天华路口、杉坑工业区、金穗西路口、洋坑路口、万惠隆百货、任屋村、华南城西门、平吉上苑、上木古村委、岭根吓、豪璟达工业区、金联兴电子厂,None
M413,大王山总站、沙井京基百纳、沙井街道办、西荟城广场、壆岗大厦、新桥万家百货、上星村委、新沙桥头、上寮市场、沙井电子城、凤凰客运站、福永医院凤凰分院、福永卫生监督所、福永汽车站①、福永家私街、怀德翠岗、宝安交警大队①、翠湖花园、黄田、钟屋、宝安桃源居西、三围路口、劲力集团、固戍村、西成工业区、宝安农批市场、西乡立交①、宝安中心医院①、西乡路口①、上川路口①、裕安路口①、宝安交通运输局③、深南北环立交①、南头①、深大北门①、科技园①、大冲①、白石洲②、世界之窗②、锦绣中华②、竹子林②、招商银行大厦②、深南香蜜立交①、投资大厦①、福田高铁站,福田高铁站、广电大厦①、深南香蜜立交①、招商银行大厦②、竹子林②、锦绣中华①、世界之窗②、白石洲②、大冲①、科技园①、深大北门①、南头①、深南北环立交②、宝安交通运输局①、裕安路口①、上川路口①、西乡路口①、宝安中心医院①、西乡立交①、宝安农批市场、西成工业区、固戍村、劲力集团、三围路口、宝安桃源居西、钟屋、黄田、翠湖花园、宝安交警大队①、怀德翠岗、福永家私街、福永汽车站、福永卫生监督所、福永医院凤凰分院、凤凰客运站、新桥南环路口①、上寮市场、上寮、新沙桥头、上星村委、新桥万家百货、壆岗大厦、西荟城广场、沙井街道办、沙井京基百纳、大王山新村南、大王山总站
M414,布吉甘坑总站、甘坑客家小镇、甘坑社康中心、凉帽村、秀峰工业区、农衣路口、秀峰路口、恒通工业区、丽湖花园、上水径、下水径、大坡头村、布吉中学、龙岗区第二人民医院、荣超花园②、草埔地铁站②、洪湖公园①、洪湖二街东、儿童公园①、罗湖税务局①、笋岗八卦路口①、体育馆②、市话大厦、海外装饰大厦②、上海宾馆西①、岗厦北地铁站①、海关综合大楼、广电大厦①、特区报社②、香蜜湖②、深南香蜜立交①、招商银行大厦②、福田交通枢纽公交场站,福田交通枢纽公交场站、深圳人才园②、竹子林①、招商银行大厦②、深南香蜜立交①、香蜜湖②、特区报社②、投资大厦①、海关综合大楼、岗厦北地铁站①、田面、上海宾馆西①、海外装饰大厦②、市话大厦①、体育馆②、笋岗八卦路口①、罗湖税务局①、桂园中学、笋岗桥、儿童公园①、田贝①、洪湖公园②、独树村②、草埔地铁站②、荣超花园②、龙岗区第二人民医院、布吉中学、大坡头村、下水径、上水径、丽湖花园、恒通工业区、秀峰路口、农衣路口、秀峰工业区、凉帽村、甘坑社康中心、甘坑客家小镇、布吉甘坑总站
M415,大王山总站、大王山新村南、沙井京基百纳、沙井街道办、西荟城广场、壆岗大厦、新桥万家百货、上星村委、新沙桥头、沙井中心客运站、新桥第三工业区、潭头路口、松岗天虹商场①、松岗街道办、星港城购物中心①、松岗汽车站、薯田埔、宏发嘉域、合水口居委、三和百货、公明汽车站①、国科大医院西院区①、将石、东坑、田寮路口、田寮、玉律、石岩湖路口、北大方正、石岩径贝村、石岩汽车站①、石岩街道办、官田村①、宝燃油站、长城工业区②、水田社区①、恒安和加油站、羊台山、大浪石观工业区、龙华交管所、赤岭头村、国泰家私城、西头居委会、上塘农贸市场、锦绣江南、牛栏前学校、万众城家居广场、梅花山庄、大发埔油站、坂田地铁站、杨美地铁站、宏扬学校、丽湖花园、上水径、下水径、大坡头村、布吉中学、龙岗区第二人民医院、布吉街①、深圳东站东广场,深圳东站东广场、布吉街、龙岗区第二人民医院、布吉中学、大坡头村、下水径、上水径、丽湖花园、宏扬学校、杨美地铁站、坂田地铁站、坂田医院、大发埔油站、梅花山庄、万众城家居广场、牛栏前学校、锦绣江南、上塘农贸市场、西头居委会、国泰家私城、赤岭头村、龙华交管所、大浪石观工业区、羊台山、恒安和加油站、水田社区①、长城工业区②、宝燃油站、官田村①、石岩街道办、石岩汽车站①、石岩径贝村、北大方正、石岩湖路口、玉律、田寮、田寮路口、东坑、将石、国科大医院西院区②、公明汽车站、三和百货、合水口居委、宏发嘉域、薯田埔、松岗汽车站、松岗桥底、松岗街道办、松岗天虹商场①、潭头路口、新桥第三工业区、沙井中心客运站、新沙桥头、上星村委、新桥万家百货、壆岗大厦、西荟城广场、沙井街道办、沙井京基百纳、大王山新村南、大王山总站
M416,宝安机场场站、机场新航站楼、后瑞地铁站、兴围、航空物流园、机场东地铁公交接驳站,机场东地铁公交接驳站、航空物流园、兴围、后瑞地铁站③、机场新航站楼、宝安机场场站
M418,月亮湾填海区公交总站、前海湾花园南、十二号路、前海兴海路口、南山花园、深大附中、青青世界、前海沿湖路口、太子山庄、南山党校、城市山林西、城市山林东、东滨路中、荔秀文化街、南门一坊、北师大附中、海月地铁站①、育才四小、湾厦村委、永乐新村,永乐新村、湾厦村委、育才四小、海月地铁站、北师大附中、南门一坊、荔秀文化街、东滨路中、城市山林东、城市山林西、南山党校、太子山庄、前海沿湖路口、青青世界、深大附中、南山花园、前海兴海路口、十二号路、前海湾花园南、月亮湾填海区公交总站
M419,机场码头、机场邮件处理中心、后瑞地铁站、后瑞村、兴围、航空物流园、福围、下十围第一工业区、福永翠岗二区、鸿兴印刷厂、福永供电站、万福广场西、福永街道办、福永康之宝、龙翔山庄、福永消防中队、立新湖外国语学校、立新湖公园、福永水厂、稔山工业区、大洋花园、福安第二工业城、中粮凤凰里花苑、景山花园、福安工业区、广生医院、凤凰广场、凤凰社区、凤凰台湾街、凤凰山公交综合场站,凤凰山公交综合场站、凤凰台湾街、凤凰社区、凤凰广场、福安工业区、景山花园、中粮凤凰里花苑、福安第二工业城、大洋花园、稔山工业区、福永水厂、立新湖公园、福永消防中队、龙翔山庄、福永康之宝、福永街道办、万福广场西、福永供电站、鸿兴印刷厂、福永翠岗二区、下十围第一工业区、永福苑、福围、航空物流园、兴围、后瑞村、后瑞地铁站②、机场邮件处理中心、空港油库、机场码头
M420,石凹路公交首末站、石凹路西、浪宁路中、龙华检察院、浪花路中、梵思诺大厦、华荣综合市场、华荣工业区、大浪行政中心、德泰科技园、大浪商业中心东、大浪同富裕工业区、大浪商业中心、大浪劳动者广场、中建工业区、玉田新村、上横朗市场、下横朗村、羊台山、谭罗村、大浪石观工业区、鹊山路口、光浩工业园、天诚家私厂、元芬村、赤岭头村、国泰家私城、西头居委会、上塘农贸市场、松仔园、人民路口北、民塘上塘路口、上芬小学、简上中路、简上村公交站、简上村公交总站,简上村公交总站、简上村公交站、上芬小学、民塘上塘路口、人民路口北、松仔园、上塘农贸市场、西头居委会、国泰家私城、赤岭头村、元芬村、天诚家私厂、光浩工业园、鹊山路口、大浪石观工业区、谭罗村、羊台山、下横朗村、上横朗市场、玉田新村、中建工业区、大浪劳动者广场、大浪商业中心、大浪同富裕工业区、大浪商业中心东、德泰科技园、大浪行政中心、华荣工业区、华荣综合市场、梵思诺大厦、浪花路中、龙华检察院、浪宁路中、石凹路西、石凹路公交首末站
M421,龙华文化广场临时公交场站、共和新村、瓦窑排、龙华富士康、水斗富豪新村、水斗村、利金城工业园、坂田天虹、坂田市场、坂田路口（西）、天安花园、宝利工业区、雪竹径加油站、上雪工业区、红门、秀峰路口、恒通工业区、丽湖花园、兴晖苑、塘园新村、布吉汽车站、东方半岛、大芬地铁站①、丹竹头地铁站、金银坑、深坑居民小组、六约地铁站、牛始埔居民小组、六约社区、塘坑地铁站、横岗街道办、力嘉工业区、横岗志健广场、横岗地铁站①、大康路口、大康村委、横岗大康村公交总站,横岗大康村公交总站、大康村委、大康路口、横岗地铁站①、横岗志健广场、力嘉工业区、横岗街道办、塘坑地铁站、六约社区、牛始埔居民小组、六约地铁站、深坑居民小组、金银坑、丹竹头地铁站、大芬地铁站①、东方半岛、布吉汽车站、塘园新村、兴晖苑、丽湖花园、恒通工业区、秀峰路口、红门、上雪工业区、雪竹径加油站、宝利工业区、天安花园、坂田路口（西）、坂田市场、坂田天虹、利金城工业园、水斗村、水斗富豪新村、龙华富士康、瓦窑排、共和新村、龙华文化广场临时公交场站
M422,深圳坪山综合交通枢纽公交场站、坪山火车站南广场、站前路东、坪山丹梓大道路口、大工业区体育中心、坪山区委区政府、市规土委坪山局、坪山公安分局、坪山图书馆、国盛大源、燕子岭公园、燕子岭派出所、萨米医疗中心、黄泥园、竹坑村委、金牛创景路口、竹韵花园、深圳技术大学,深圳技术大学、竹韵花园、金牛创景路口、竹坑村委、黄泥园、萨米医疗中心、燕子岭派出所、坪山行政服务大厅、燕子岭公园、国盛大源、坪山公安分局、市规土委坪山局、坪山区委区政府、大工业区体育中心、坪山丹梓大道路口、站前路东、坪山火车站南广场、深圳坪山综合交通枢纽公交场站
M423,大鹏汽车站、大鹏中心②、石禾塘、大鹏第一工业区、大鹏第四工业区、布新社区、布锦村、同富工业区、水头市场、大岭吓、新大社区、碧洲、地质公园路中、国家地质公园,国家地质公园、地质公园路中、碧洲、新大社区、大岭吓、水头市场、同富工业区、布锦村、布新社区、大鹏第四工业区、大鹏第一工业区、大鹏中心②、大鹏汽车站
M424,光明白花洞总站、白花广场东、富民广场、宝源科技、大水坑一村、富士康南门、金湖湾园区、大水坑小学、吉岭新村、福城街道办、大富工业区路口、永勤厂、龙华社保分局、丹坑村、长湖头村、观澜二小、观澜交警中队、田背路口、竹村、宝湖新村、龙华汽车站、城市明珠、人民医院龙华分院、景乐市场、弓村、金侨花园、东环一路中、集瑞二区、油松派出所、警备区龙华公寓、富士康西门、伍屋村、龙华文化广场临时公交场站,龙华文化广场临时公交场站、文化广场北、伍屋村、富士康西门、警备区龙华公寓、油松派出所、集瑞二区、东环一路中、金侨花园、弓村、景乐市场、人民医院龙华分院、城市明珠、龙华汽车站、宝湖新村、竹村、田背路口、观澜交警中队、观澜二小、长湖头村、丹坑村、龙华社保分局、永勤厂、大富工业区路口、福城街道办、吉岭新村、大水坑小学、金湖湾园区、富士康南门、大水坑一村、宝源科技、富民广场、白花广场东、光明白花洞总站
M425,平峦山公交总站、宝安桃源居①、西乡交管所①、平峦山公园、宝田二路路口、西乡城管办、宝安客运中心、丽景城、富盈门、前进天虹商场、诺铂广场、公园路西一巷、宝安税务局、灵芝园新村、新安公园、教科培训中心、南山供电局、前进同安路口、中山公园东门、南山公安分局、深大北门①、大冲①、白石洲③、世界之窗地铁公交接驳站,世界之窗地铁公交接驳站、白石洲③、大冲①、深大北门①、南山公安分局、中山公园东门、前进同安路口、南山供电局、教科培训中心、新安公园、灵芝园新村、宝安税务局、公园路西一巷、诺铂广场、文汇中学、前进天虹商场、富盈门、丽景城、宝安客运中心、西乡城管办、平峦山公园、平峦山公交总站
